Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum, Tau_Ener_1, Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,type,type_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
261.478,98.9491,180.214,81.2645,9.00005,-0.550634,4.22471,4.77534,270.487,180.274,90.2134,0.450972,-0.0108819,-0.461854,1,4,277.924,488.134,198.73,343.432,144.702,96.5684,60.7804,78.6744,17.894,2571.02,1392.35,1178.66,4.86239,2.07569,-2.7867
638.787,190.208,414.497,224.29,2.36367,0.760482,1.56208,0.801595,727.931,498.129,229.802,-0.403773,-0.625009,-0.221236,1,4,126.468,333.086,9.44739,171.267,161.819,35.9863,-7.06653,14.4599,21.5264,1488.39,822.363,666.025,4.34328,2.25092,-2.09236
132.674,13.2758,72.9751,59.6993,13.9921,10.4777,12.2349,1.7572,353.827,256.192,97.6354,0.852187,1.92683,1.07465,1,4,50.2238,283.641,73.0997,178.37,105.271,34.1726,6.22735,20.2,13.9726,3143.06,1636.92,1506.14,-6.25945,-2.9068,3.35265
712.229,137.169,424.699,287.53,17.9782,2.82431,10.4013,7.57696,713.149,424.914,288.235,-0.0851848,-0.0202848,0.0649,1,4,215.017,428.087,198.741,313.414,114.673,23.6406,11.72,17.6803,5.96033,1430.05,560.551,869.503,3.89919,1.18461,-2.71458
321.981,274.516,298.248,23.7324,3.09445,1.2677,2.18107,0.913372,415.672,321.792,93.8809,2.44662,0.394707,-2.05191,1,4,242.057,506.224,388.717,447.47,58.7535,42.3899,31.2755,36.8327,5.55723,2195.16,1640.32,554.839,4.90839,1.97278,-2.93561
311.346,93.0868,202.216,109.13,7.36036,-0.966787,3.19679,4.16357,485.656,314.592,171.064,-0.00952911,1.01061,1.02014,1,4,247.042,412.663,115.772,264.218,148.446,70.058,-6.14318,31.9574,38.1006,2125.99,398.195,1727.79,-4.10983,-0.964397,3.14544
207.759,115.395,161.577,46.1821,2.35665,0.287436,1.32204,1.03461,315.974,233.596,82.3774,-2.09407,-0.912187,1.18189,1,4,203.987,312.863,157.922,235.392,77.4704,25.337,11.3795,18.3583,6.97874,1482.91,554.059,928.851,4.67546,1.50003,-3.17543
261.397,58.3489,159.873,101.524,8.71175,0.252668,4.48221,4.22954,332.351,218.904,113.448,1.31305,0.834576,-0.478477,1,4,227.298,463.449,206.291,334.87,128.579,53.7993,21.2284,37.5139,16.2854,2445.71,2070.89,374.823,4.23961,2.50837,-1.73124
213.897,66.8243,140.361,73.5364,6.94623,3.55714,5.25168,1.69455,372.288,225.481,146.807,-0.263032,1.05176,1.31479,1,4,242.279,513.913,314.516,414.215,99.6986,87.8774,65.4099,76.6437,11.2338,1509.97,621.02,888.948,-3.82923,-0.951439,2.87779
391.893,316.628,354.261,37.6324,5.49211,4.13485,4.81348,0.678633,427.865,379.767,48.0986,0.352363,-0.377003,-0.729366,1,4,209.039,574.492,109.418,341.955,232.537,86.6156,62.7757,74.6956,11.9199,2167.46,840.235,1327.23,3.9707,1.54356,-2.42714
620.475,328.539,474.507,145.968,27.2771,16.5656,21.9213,5.35576,647.577,477.475,170.102,0.464565,-0.101872,-0.566437,1,4,193.099,806.701,686.89,746.795,59.9058,100.155,97.4999,98.8274,1.3275,2048.36,767.977,1280.39,-3.95348,-0.198737,3.75474
240.779,88.3638,164.571,76.2075,9.77971,3.71794,6.74883,3.03088,393.872,258.526,135.347,-0.153558,1.02287,1.17643,1,4,352.447,790.32,563.228,676.774,113.546,61.6109,33.7595,47.6852,13.9257,2802.01,2405.26,396.746,3.86307,1.94061,-1.92246
374.061,276.238,325.149,48.9112,7.13952,3.71653,5.42803,1.71149,404.073,335.222,68.8509,1.1221,0.247739,-0.87436,1,4,230.271,709.278,594.935,652.106,57.1716,53.8382,37.5955,45.7169,8.12134,2144.54,690.516,1454.02,-4.26359,-0.334819,3.92877
330.422,140.196,235.309,95.1128,4.76191,-0.748387,2.00676,2.75515,470.896,335.082,135.814,-0.00359195,0.891077,0.894669,1,4,25.4519,242.102,131.307,186.705,55.3971,27.0902,7.87466,17.4824,9.60776,946.991,792.756,154.235,-3.8058,-2.12472,1.68108
138.868,13.6989,76.2836,62.5846,3.38595,3.38594,3.38594,2.6974e-06,460.833,344.782,116.051,-0.96066,-2.18908,-1.22842,1,4,228.114,592.48,216.684,404.582,187.898,108.045,42.3768,75.2108,32.8341,2637.08,799.011,1838.07,4.26812,1.29718,-2.97094
