type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
1,260.926,96.4213,178.674,82.2523,11.1281,2.46284,6.79545,4.33261,264.587,181.464,83.1233,0.036783,0.172445,0.135662,225.419,324.052,125.228,224.64,99.4117,56.0509,15.2777,35.6643,20.3866,1620,1413.39,206.617,-3.88119,-2.52569,1.3555
1,246.498,156.862,201.68,44.8177,5.414,1.69809,3.55604,1.85795,502.104,423.694,78.4102,-2.53141,-1.37326,1.15815,79.8327,211.147,89.4575,150.303,60.845,28.1623,10.108,19.1351,9.02717,1297.28,866.19,431.092,5.08264,2.43674,-2.6459
1,603.396,82.7433,343.07,260.326,8.38822,8.38821,8.38821,7.62939e-06,946.05,343.197,602.853,1.49471,0.0120904,-1.48262,80.7508,179.87,104.586,142.228,37.6422,18.1748,10.6685,14.4216,3.75314,962.777,922.655,40.1218,-2.90495,-2.55685,0.348096
1,180.23,73.8175,127.024,53.2061,5.30254,0.215313,2.75893,2.54361,416.735,318.607,98.1276,-2.79195,-1.57035,1.22159,23.098,164.853,30.2091,97.5309,67.3218,15.9264,0.311794,8.11911,7.80731,1008.72,897.281,111.444,-3.99636,-2.90934,1.08702
1,283.123,106.306,194.715,88.4084,4.44357,-1.81198,1.31579,3.12777,365.121,198.631,166.49,1.04639,-0.200129,-1.24652,143.019,359.278,55.7392,207.509,151.769,48.7755,4.76803,26.7717,22.0037,2093.69,1199.73,893.966,4.89887,2.44001,-2.45886
1,221.59,118.484,170.037,51.5534,24.1816,21.1813,22.6814,1.50013,340.442,256.391,84.0508,2.03487,0.96416,-1.07071,35.4544,214.835,130.171,172.503,42.3318,23.0537,7.51572,15.2847,7.76897,1119.14,1029.81,89.3269,3.84669,2.47266,-1.37403
1,443.154,206.605,324.879,118.274,3.24785,3.24785,3.24785,0,1626.4,1507.29,119.115,2.09679,2.21594,0.119144,109.961,501.098,301.34,401.219,99.8791,78.236,78.236,78.236,2.15792e-05,2901.82,896.097,2005.72,5.13037,1.43804,-3.69233
1,80.7814,4.31369,42.5476,38.2339,3.49189,1.72715,2.60952,0.882367,257.492,208.405,49.0868,-1.5349,-2.27134,-0.736436,41.7538,90.7061,16.6331,53.6696,37.0365,15.5548,-0.714347,7.42025,8.1346,867.036,364.8,502.237,5.90281,2.60398,-3.29882
1,241.979,82.0387,162.009,79.9702,2.12618,-0.921751,0.602213,1.52396,383.728,286.826,96.9019,-0.533369,-1.17291,-0.639546,154.634,258.442,158.469,208.455,49.9869,23.9272,11.9425,17.9349,5.99232,907.783,551.662,356.121,-4.27956,-1.62801,2.65155
1,233.146,171.655,202.4,30.7452,5.50972,-5.50973,-5.3948e-06,5.50972,416.351,343.721,72.6295,-2.62339,-1.12194,1.50145,18.6422,272.493,202.646,237.57,34.9235,38.9016,24.7392,31.8204,7.08123,606.723,473.648,133.075,-3.32246,-1.31071,2.01175
